node_id,node_group,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Ductal_Epithelial_Cell_1,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_2,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_3,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_4,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_5,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_6,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_7,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_8,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_9,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_10,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_11,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_12,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_13,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_14,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Ductal_Epithelial_Cell_15,Ductal_Epithelial_Cell,epithelial cell of exocrine pancreas,CL:1001433,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
Centroacinar_Cell_1,Centroacinar_Cell,pancreatic centro-acinar cell,CL:0002080,exocrine pancreas,UBERON:0000017,Pancreas,UBERON:0001264
