Peripheral Nervous System Organ Crosswalk,,,,,,,,,,,,
,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Ilias Ziogas; Fahim Imam,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-9210-2455; 0000-0003-4752-543X,,,,,,,,,,,
Reviewer(s):,Griffin Weber,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,
Data DOI:,,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,
Nerve,NerveID,Relationship,BodySubPart,BodySubPartID,BodySubPartSequence,BodyPart,BodyPartID,FTU,FTULabel,FTUID,Angiosome,AngiosomeID
axillary nerve,UBERON:0001493,innverates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
anterior branch of axillary nerve,FMA:81285,innverates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
deltoid branch of anterior branch of axillary nerve,FMA:81322,innverates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
posterior branch of axillary nerve,FMA:81286,innverates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
deltoid branch of posterior branch of axillary nerve,FMA:65300,innverates,deltoid,UBERON:0001476,999,muscular system,UBERON:0000383,,,,,
axillary nerve,UBERON:0001493,innverates,teres minor muscle,UBERON:0010496,999,muscular system,UBERON:0000383,,,,,
posterior branch of axillary nerve,FMA:81286,innverates,teres minor muscle,UBERON:0010496,999,muscular system,UBERON:0000383,,,,,
nerve to teres minor,FMA:65301,innverates,teres minor muscle,UBERON:0010496,999,muscular system,UBERON:0000383,,,,,
suprascapular nerve,FMA:37025,innverates,infraspinatus muscle,UBERON:0001477,999,muscular system,UBERON:0000383,,,,,
nerve to infraspinatus muscle,FMA:81314,innverates,infraspinatus muscle,UBERON:0001477,999,muscular system,UBERON:0000383,,,,,
thoracodorsal nerve,FMA:65290,innverates,latissimus dorsi muscle,UBERON:0001112,999,muscular system,UBERON:0000383,,,,,
nerve to latissimus dorsi,FMA:81258,innverates,latissimus dorsi muscle,UBERON:0001112,999,muscular system,UBERON:0000383,,,,,
long thoracic nerve,FMA:65275,innverates,serratus anterior muscle,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (1),FMA:81373,innverates,serratus anterior muscle,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (2),FMA:81374,innverates,serratus anterior muscle,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
nerve to serratus anterior (n),FMA:81375,innverates,serratus anterior muscle,UBERON:0001125,999,muscular system,UBERON:0000383,,,,,
brachial nerve plexus,UBERON:0001814,innverates,subclavius muscle,FMA:13410,999,muscular system,UBERON:0000383,,,,,
nerve to subclavius,FMA:65280,innverates,subclavius muscle,FMA:13410,999,muscular system,UBERON:0000383,,,,,
superior subscapular nerve,FMA:65304,innverates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
subscapularis branch of superior subscapular nerve (1),FMA:81278,innverates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
subscapularis branch of superior subscapular nerve (2),FMA:81281,innverates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
inferior subscapular nerve,FMA:65307,innverates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
subscapularis branch of inferior subscapular nerve,FMA:81297,innverates,subscapularis muscle,UBERON:0001129,999,muscular system,UBERON:0000383,,,,,
suprascapular nerve,FMA:37025,innverates,supraspinatus muscle,UBERON:0002383,999,muscular system,UBERON:0000383,,,,,
nerve to supraspinatus,FMA:81304,innverates,supraspinatus muscle,UBERON:0002383,999,muscular system,UBERON:0000383,,,,,
inferior subscapular nerve,FMA:65307,innverates,teres major muscle,UBERON:0001478,999,muscular system,UBERON:0000383,,,,,
nerve to teres major,FMA:81300,innverates,teres major muscle,UBERON:0001478,999,muscular system,UBERON:0000383,,,,,
musculocutaneous nerve,UBERON:0003724,innverates,biceps brachii muscle,UBERON:0001507,999,muscular system,UBERON:0000383,,,,,
branch of musculocutaneous nerve to biceps brachii,FMA:62468,innverates,biceps brachii muscle,UBERON:0001507,999,muscular system,UBERON:0000383,,,,,
branch of musculocutaneous nerve to long head of biceps brachii,FMA:81239,innverates,long head of biceps brachii muscle,FMA:37683,999,muscular system,UBERON:0000383,,,,,
branch of musculocutaneous nerve to short head of biceps brachii,FMA:81240,innverates,short head of biceps brachii muscle,FMA:37682,999,muscular system,UBERON:0000383,,,,,
musculocutaneous nerve,UBERON:0003724,innverates,brachialis muscle,UBERON:0001506,999,muscular system,UBERON:0000383,,,,,
branch of musculocutaneous nerve to brachialis,FMA:67952,innverates,brachialis muscle,UBERON:0001506,999,muscular system,UBERON:0000383,,,,,
musculocutaneous nerve,UBERON:0003724,innverates,coracobrachialis muscle,UBERON:0001505,999,muscular system,UBERON:0000383,,,,,
branch of musculocutaneous nerve to coracobrachialis,FMA:62467,innverates,coracobrachialis muscle,UBERON:0001505,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innverates,brachialis muscle,UBERON:0001506,999,muscular system,UBERON:0000383,,,,,
lateral muscular branch of radial nerve to brachialis,FMA:65333,innverates,brachialis muscle,UBERON:0001506,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innverates,brachioradialis muscle,UBERON:0011011,999,muscular system,UBERON:0000383,,,,,
nerve to brachioradialis,FMA:65334,innverates,brachioradialis muscle,UBERON:0011011,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innverates,triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
medial muscular branch of radial nerve to triceps brachii,FMA:81226,innverates,triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
branch of posterior muscular branch of radial nerve to lateral head of triceps brachii,FMA:65330,innverates,lateral head of triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
branch of medial muscular branch of radial nerve to long head of triceps brachii,FMA:81198,innverates,long head of triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
branch of posterior muscular branch of radial nerve to medial head of triceps brachii,FMA:65329,innverates,medial head of triceps brachii muscle,UBERON:0001509,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innverates,anconeus muscle,UBERON:0002989,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innverates,humerus,UBERON:0000976,999,skeleton,UBERON:0004288,,,,,
branch of musculocutaneous nerve to humerus,FMA:67953,innverates,humerus,UBERON:0000976,999,skeleton,UBERON:0004288,,,,,
