OMAP-31: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Fallopian Tube with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Alexander Cabrera; Jean Rosario; Kathleen O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Diane Saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-8849-6746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1038/s41596-021-00556-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,release date assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,,
OMAP-31,P11836,HGNC:7315,MS4A1,Mouse,IgG2a,Monoclonal,L26,Akoya Biosciences,4450094,,N,,200,Oligonucleotide,AB_3094498,CODEX,FFPE,1,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines B cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P16070,HGNC:1681,CD44,Rat,IgG2b,Monoclonal,IM7,Akoya Biosciences,4250002,,N,,200,Oligonucleotide,AB_3271530,CODEX,FFPE,1,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,"This marker defines activated T cells, PEG cells, and other mesenchymal cells.",Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P60709,HGNC:132,ACTB,Rat,IgG2a,Monoclonal,W16197A,Akoya Biosciences,4450092,,N,,200,Oligonucleotide,AB_3662761,CODEX,FFPE,2,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,"This marker defines epithelial cells, smooth muscle, and endothelial cells.",Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P12830,HGNC:1748,CDH1,Mouse,IgG1,Monoclonal,4A2C7,Akoya Biosciences,4250021,,Y,,200,Oligonucleotide,AB_2895057,CODEX,FFPE,2,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines epithelial cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P02462,HGNC:2202,COL4A1,Rabbit,IgG,Monoclonal,EPR20966,Akoya Biosciences,4550122,,Y,,200,Oligonucleotide,AB_2927676,CODEX,FFPE,3,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines extracellular matrix.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,"P04264, P35908, P12035, P19013, P13647, P02538, P04259, P48668, P08729, P05787, P13645, P02533, P19012, P08779, P08727","HGNC:6412, HGNC:6439, HGNC:6440, HGNC:6441, HGNC:6442, HGNC:6443, HGNC:6444, HGNC:20406, HGNC:6445, HGNC:6446, HGNC:6413, HGNC:6416, HGNC:6421, HGNC:6423, HGNC:6436","KRT1, KRT2, KRT3, KRT4, KRT5, KRT6A, KRT6B, KRT7, KRT8, KRT10, KRT14, KRT15, KRT16, KRT19",Mouse,IgG1,Monoclonal,AE-1/AE-3,Akoya Biosciences,4150020,,N,,200,Oligonucleotide,AB_2909509,CODEX,FFPE,3,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines epithelial cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P35222,HGNC:2514,CTNNB1,Mouse,IgG1,Monoclonal,12F7,Akoya Biosciences,4250091,,N,,200,Oligonucleotide,AB_3082978,CODEX,FFPE,3,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,Y,This marker defines epithelial cells and is part of the core panel for human fallopian tube.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P07766,HGNC:1674,CD3E,Rabbit,IgG,Monoclonal,EP449E,Akoya Biosciences,4550119,,Y,,200,Oligonucleotide,AB_2936080,CODEX,FFPE,4,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines T cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,"P01903, P01911","HGNC:4947, HGNC:4948","HLA-DRA, HLA-DRB1",Rabbit,IgG,Monoclonal,EPR3692,Akoya Biosciences,4550118,,Y,,200,Oligonucleotide,AB_3080864,CODEX,FFPE,4,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines antigen-presenting cells (MHCII) and non-ciliated glandular epithelial cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P01732,HGNC:1706,CD8A,Mouse,IgG1,Monoclonal,C8/144B,Akoya Biosciences,4250012,,N,,200,Oligonucleotide,AB_2915960,CODEX,FFPE,4,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines cytotoxic T cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P08575-4,HGNC:9666,PTPRC,Mouse,IgG2a,Monoclonal,UCHL1,Akoya Biosciences,4550127,,N,,200,Oligonucleotide,AB_3662766,CODEX,FFPE,5,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines immune cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,Q03135,HGNC:1527,CAV1,Rabbit,IgG,Monoclonal,D46G3,Akoya Biosciences,4450084,,Y,,200,Oligonucleotide,AB_3662763,CODEX,FFPE,5,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines fibroblasts and vascular endothelial cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
