anatomical_structure_of,node_name,label,OntologyID,representation_of
#VHFBloodVasculature,VH_F_blood_vasculature,blood vasculature,UBERON:0004537,http://purl.obolibrary.org/obo/UBERON_0004537
#VHFBloodVasculature,VH_F_left_uterine_artery,Left uterine artery,FMA:18831,http://purl.org/sig/ont/fma/fma18831
#VHFBloodVasculature,VH_F_right_uterine_artery,Right uterine artery,FMA:18830,http://purl.org/sig/ont/fma/fma18830
#VHFBloodVasculature,VH_F_left_uterine_vein,Left uterine vein,FMA:18898,http://purl.org/sig/ont/fma/fma18898
#VHFBloodVasculature,VH_F_right_uterine_vein,Right uterine vein,FMA:18897,http://purl.org/sig/ont/fma/fma18897
#VHFBloodVasculature,VH_F_blood_vasculature_of_eye,Blood vasculature of eye,UBERON:0002203,http://purl.obolibrary.org/obo/UBERON_0002203
#VHFBloodVasculature,VH_F_ophthalmic_vein_L,ophthalmic vein,UBERON:0011191,http://purl.obolibrary.org/obo/UBERON_0011191
#VHFBloodVasculature,VH_F_superior_ophthalmic_vein_L,Left superior ophthalmic vein,FMA:51249,http://purl.org/sig/ont/fma/fma51249
#VHFBloodVasculature,VH_F_inferior_ophthalmic_vein_L,Left inferior ophthalmic vein,FMA:51251,http://purl.org/sig/ont/fma/fma51251
#VHFBloodVasculature,VH_F_central_retinal_vein_L,Left central retinal vein,FMA:51885,http://purl.org/sig/ont/fma/fma51885
#VHFBloodVasculature,VH_F_ophthalmic_vein_R,ophthalmic vein,UBERON:0011191,http://purl.obolibrary.org/obo/UBERON_0011191
#VHFBloodVasculature,VH_F_superior_ophthalmic_vein_R,Right superior ophthalmic vein,FMA:51248,http://purl.org/sig/ont/fma/fma51248
#VHFBloodVasculature,VH_F_inferior_ophthalmic_vein_R,Right inferior ophthalmic vein,FMA:51250,http://purl.org/sig/ont/fma/fma51250
#VHFBloodVasculature,VH_F_central_retinal_vein_R,Right central retinal vein,FMA:51884,http://purl.org/sig/ont/fma/fma51884
#VHFBloodVasculature,VH_F_long_posterior_ciliary_artery_L,Left long posterior ciliary artery,FMA:49958,http://purl.org/sig/ont/fma/fma49958
#VHFBloodVasculature,VH_F_opthalmic_artery_L,ophthalmic artery,UBERON:0001619,http://purl.obolibrary.org/obo/UBERON_0001619
#VHFBloodVasculature,VH_F_central_retinal_artery_L,Left central retinal artery,FMA:49881,http://purl.org/sig/ont/fma/fma49881
#VHFBloodVasculature,VH_F_long_posterior_ciliary_artery_R,Right long posterior ciliary artery,FMA:49957,http://purl.org/sig/ont/fma/fma49957
#VHFBloodVasculature,VH_F_opthalmic_artery_R,ophthalmic artery,UBERON:0001619,http://purl.obolibrary.org/obo/UBERON_0001619
#VHFBloodVasculature,VH_F_central_retinal_artery_R,Right central retinal artery,FMA:49880,http://purl.org/sig/ont/fma/fma49880
#VHFBloodVasculature,VH_F_renal_artery,renal artery,UBERON:0001184,http://purl.obolibrary.org/obo/UBERON_0001184
#VHFBloodVasculature,VH_F_right_renal_artery,right renal artery,UBERON:0001185,http://purl.obolibrary.org/obo/UBERON_0001185
#VHFBloodVasculature,VH_F_left_renal_artery,left renal artery,UBERON:0001186,http://purl.obolibrary.org/obo/UBERON_0001186
#VHFBloodVasculature,VH_F_renal_vein,renal vein,UBERON:0001140,http://purl.obolibrary.org/obo/UBERON_0001140
#VHFBloodVasculature,VH_F_left_renal_vein,left renal vein,UBERON:0001142,http://purl.obolibrary.org/obo/UBERON_0001142
