node_name,OntologyID,label
Allen_brain,UBERON:0000955,brain
Allen_brain_Hemisphere_L,UBERON:0002812,left cerebral hemisphere
Allen_olfactory_bulb_L,UBERON:0002264,olfactory bulb
Allen_anterior_olfactory_nucleus_L,UBERON:0002266,anterior olfactory nucleus
Allen_piriform_region_L,UBERON:0004725,piriform cortex
Allen_frontal_agranular_insular_cortex_area_Fl_L,,
Allen_temporal_agranular_insular_cortex_area_Tl_L,,
Allen_head_of_caudate_L,,
Allen_body_of_caudate_L,,
Allen_tail_of_caudate_L,,
Allen_putamen_L,,
Allen_nucleus_accumbens_L,,
Allen_external_segment_of_globus_pallidus_L,,
Allen_internal_segment_of_globus_pallidus_L,,
Allen_claustrum_L,,
Allen_basal_forebrain_L,,
Allen_septal_nuclei_L,,
Allen_amygdaloid_complex_L,,
Allen_anterior_amygdaloid_area_L,,
Allen_central_nuclear_group_L,,
Allen_lateral_nucleus_L,,
Allen_basolateral_nucleus_basal_nucleus_L,,
Allen_basomedial_nucleus_accessory_basal_nucleus_L,,
Allen_anterior_cortical_nucleus_L,,
Allen_posterior_cortical_nucleus_L,,
Allen_medial_nucleus_L,,
Allen_amygdalohippocampal_area_L,,
Allen_bed_nucleus_of_stria_terminalis_L,,
Allen_thalamus_L,,
Allen_anterior_nuclear_complex_of_thalamus_L,,
Allen_lateral_dorsal_nucleus_of_thalamus_L,,
Allen_mediodorsal_nucleus_of_thalamus_L,,
Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,,
Allen_lateral_posterior_nucleus_of_thalamus_L,,
Allen_pulvinar_of_thalamus_L,,
Allen_ventral_anterior_nucleus_of_thalamus_L,,
Allen_ventral_lateral_nucleus_of_thalamus_L,,
Allen_ventral_posterior_lateral_nucleus_L,,
Allen_ventral_posterior_medial_nucleus_L,,
Allen_dorsal_lateral_geniculate_nucleus_L,,
Allen_medial_geniculate_nuclei_L,,
Allen_centromedian_nucleus_of_thalamus_L,,
Allen_parafascicular_nucleus_of_thalamus_L,,
Allen_habenular_nuclei_L,,
Allen_pineal_body_L,,
Allen_zona_incerta_L,,
Allen_subthalamic_nucleus_L,,
Allen_hypothalamus_L,UBERON:0001898,hypothalamus
Allen_preoptic_region_of_HTH_L,,
Allen_supraoptic_region_of_HTH_L,,
Allen_tuberal_region_of_HTH_L,,
Allen_mammillary_region_of_HTH_L,,
Allen_white_matter_of_forebrain_L,,
Allen_anterior_commissure_L,,
Allen_corpus_callosum_L,,
Allen_fornix_L,,
Allen_mammillothalamic_tract_L,,
Allen_optic_tract_L,,
Allen_anterior_horn_of_lateral_ventricle_L,,
Allen_body_of_lateral_ventricle_L,,
Allen_posterior_horn_of_lateral_ventricle_L,,
Allen_inferior_horn_of_lateral_ventricle_L,,
Allen_third_ventricle_L,,
Allen_cerebellar_vermis_L,,
Allen_cerebellar_deep_nuclei_L,,
Allen_white_matter_of_hindbrain_L,,
Allen_olfactory_tract_L,,
Allen_precentral_gyrus_L,,
Allen_superior_frontal_gyrus_L,,
Allen_middle_frontal_gyrus_L,,
Allen_inferior_frontal_gyrus_triangular_part_L,,
Allen_inferior_frontal_gyrus_opercular_part_L,,
Allen_gyrus_rectus_straight_gyrus_L,,
Allen_medial_orbital_gyrus_L,,
Allen_anterior_intermediate_orbital_gyrus_L,,
Allen_posterior_intermediate_orbital_gyrus_L,,
Allen_lateral_orbital_gyrus_L,,
Allen_paracentral_lobule_rostral_part_L,,
Allen_frontal_operculum_L,,
Allen_postcentral_gyrus_L,,
Allen_supraparietal_lobule_L,,
Allen_supramarginal_gyrus_L,,
Allen_angular_gyrus_L,,
Allen_precuneus_L,,
Allen_paracentral_lobule_caudal_part_L,,
Allen_superior_temporal_gyrus_L,,
Allen_middle_temporal_gyrus_L,,
Allen_inferior_temporal_gyrus_L,,
Allen_occipitotemporal_fusiform_gyrus_temporal_part_L,,
Allen_transverse_temporal_gyrus_Heschls_gyrus_L,,
Allen_planum_temporale_L,,
Allen_temporal_pole_L,,
Allen_planum_polare_L,,
Allen_occipital_pole_L,,
Allen_cuneus_L,,
Allen_lingual_gyrus_medial_occipitotemporal_gyrus_L,,
Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_L,,
Allen_inferior_occipital_gyrus_L,,
Allen_superior_occipital_gyrus_L,,
Allen_cingulate_gyrus_rostral_anterior_part_L,,
Allen_cingulate_gyrus_caudal_posterior_part_L,,
Allen_ingulo_parahippocampal_isthmus_L,,
